Thu Apr  3 23:16:18 2014    profil_no-ruler

         248409 function calls (247719 primitive calls) in 32.205 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.010    0.000    0.024    0.000 genericpath.py:26(isfile)
        1    0.010    0.010    0.025    0.025 npyio.py:1(<module>)
     1075    0.010    0.000    0.010    0.000 {method 'upper' of 'unicode' objects}
      194    0.010    0.000    0.010    0.000 {_codecs.utf_8_decode}
        1    0.009    0.009    0.033    0.033 Model.py:1(<module>)
        3    0.009    0.003    0.011    0.004 numeric.py:122(extend_all)
        1    0.009    0.009    1.407    1.407 Utility.py:1(<module>)
      504    0.009    0.000    0.023    0.000 _util.py:4(isStringType)
    92/27    0.009    0.000    0.216    0.008 sre_parse.py:301(_parse_sub)
        1    0.009    0.009    0.706    0.706 add_newdocs.py:9(<module>)
        1    0.009    0.009    0.033    0.033 threading.py:1(<module>)
        1    0.009    0.009    0.054    0.054 tempfile.py:18(<module>)
        1    0.009    0.009    0.012    0.012 defmatrix.py:1(<module>)
        1    0.008    0.008    0.008    0.008 Cylinder.py:1(<module>)
        1    0.008    0.008    0.172    0.172 _datasource.py:386(exists)
       51    0.008    0.000    0.010    0.000 __init__.py:382(__getitem__)
        1    0.008    0.008    0.014    0.014 six.py:1(<module>)
        1    0.008    0.008    0.019    0.019 io.py:34(<module>)
      343    0.008    0.000    0.037    0.000 threading.py:154(__exit__)
      172    0.008    0.000    0.036    0.000 osd.py:101(set_rotation)
      489    0.008    0.000    0.011    0.000 sre_parse.py:138(append)
      801    0.008    0.000    0.008    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.008    0.004    0.114    0.057 Shader.py:67(__init__)
        2    0.008    0.004    0.029    0.015 function_base.py:1(<module>)
       73    0.008    0.000    0.030    0.000 sre_compile.py:178(_compile_charset)
       13    0.008    0.001    0.013    0.001 _iotools.py:550(__init__)
      583    0.008    0.000    0.014    0.000 sre_parse.py:195(match)
        6    0.008    0.001    0.010    0.002 _datasource.py:73(_load)
        1    0.008    0.008    0.054    0.054 urlparse.py:29(<module>)
        1    0.007    0.007    0.036    0.036 numerictypes.py:88(<module>)
      358    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
      375    0.007    0.000    0.021    0.000 Event.py:10(<genexpr>)
      357    0.007    0.000    0.007    0.000 {method 'acquire' of 'thread.lock' objects}
        4    0.007    0.002    0.007    0.002 {print}
        4    0.007    0.002    0.007    0.002 {posix.popen}
        1    0.007    0.007    0.012    0.012 EventStream.py:1(<module>)
      171    0.007    0.000    0.027    0.000 Keyboard.py:23(read)
       30    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x252e08}
      715    0.007    0.000    0.007    0.000 threading.py:63(_note)
      473    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
        1    0.007    0.007    0.007    0.007 LodSprite.py:1(<module>)
        1    0.007    0.007    0.025    0.025 Log.py:1(<module>)
      586    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
       27    0.007    0.000    0.428    0.016 re.py:226(_compile)
      460    0.006    0.000    0.006    0.000 {min}
      171    0.006    0.000    0.052    0.000 Display.py:313(swap_buffers)
        1    0.006    0.006    0.011    0.011 Clashtest.py:1(<module>)
        1    0.006    0.006    0.007    0.007 ImageFont.py:28(<module>)
        1    0.006    0.006    0.045    0.045 random.py:40(<module>)
        1    0.006    0.006    0.012    0.012 collections.py:1(<module>)
       10    0.006    0.001    0.021    0.002 abc.py:86(__new__)
        1    0.006    0.006    0.294    0.294 __init__.py:54(_linux)
      375    0.006    0.000    0.010    0.000 Event.py:9(<genexpr>)
      452    0.006    0.000    0.008    0.000 sre_parse.py:126(__len__)
      103    0.006    0.000    0.010    0.000 sre_compile.py:354(_simple)
       27    0.006    0.000    0.051    0.002 sre_compile.py:361(_compile_info)
        1    0.006    0.006    0.009    0.009 Buffer.py:1(<module>)
      234    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
       26    0.006    0.000    0.008    0.000 numerictypes.py:232(bitname)
        1    0.006    0.006    0.006    0.006 shutil.py:5(<module>)
        1    0.006    0.006    0.007    0.007 arrayprint.py:4(<module>)
        1    0.006    0.006    0.007    0.007 utils.py:3(<module>)
       10    0.006    0.001    0.006    0.001 {zip}
      343    0.006    0.000    0.006    0.000 Display.py:299(_for_each_sprite)
        1    0.006    0.006    0.007    0.007 Shape.py:1(<module>)
        1    0.006    0.006    0.029    0.029 BmpImagePlugin.py:27(<module>)
      194    0.006    0.000    0.015    0.000 utf_8.py:15(decode)
     1088    0.006    0.000    0.006    0.000 Loadable.py:61(_load_disk)
        1    0.006    0.006    0.019    0.019 loaderObj.py:1(<module>)
        1    0.005    0.005    0.019    0.019 __init__.py:44(<module>)
        1    0.005    0.005    0.126    0.126 __init__.py:6(<module>)
        1    0.005    0.005    0.006    0.006 Camera.py:1(<module>)
        1    0.005    0.005    0.005    0.005 {_curses.initscr}
        1    0.005    0.005    0.005    0.005 Canvas.py:1(<module>)
        1    0.005    0.005    0.012    0.012 decorators.py:15(<module>)
        1    0.005    0.005    0.005    0.005 EnvironmentCube.py:1(<module>)
        1    0.005    0.005    0.006    0.006 heapq.py:31(<module>)
        1    0.005    0.005    0.005    0.005 Sprite.py:1(<module>)
        1    0.005    0.005    0.005    0.005 MergeShape.py:1(<module>)
        1    0.005    0.005    0.011    0.011 _datasource.py:33(<module>)
        1    0.005    0.005    0.541    0.541 __init__.py:75(_detect_platform_and_load_libraries)
        2    0.005    0.002    0.075    0.037 Image.py:527(tobytes)
        1    0.005    0.005    0.005    0.005 String.py:1(<module>)
       31    0.005    0.000    0.010    0.000 _inspect.py:157(formatargspec)
        1    0.005    0.005    0.006    0.006 mimetools.py:1(<module>)
        1    0.005    0.005    0.005    0.005 DisplayOpenGL.py:1(<module>)
        1    0.005    0.005    0.005    0.005 PostProcess.py:1(<module>)
        1    0.005    0.005    0.006    0.006 Shader.py:1(<module>)
        1    0.005    0.005    0.005    0.005 ShadowCaster.py:1(<module>)
        1    0.005    0.005    0.005    0.005 Disk.py:1(<module>)
        1    0.005    0.005    0.005    0.005 ElevationMap.py:1(<module>)
        1    0.005    0.005    0.005    0.005 OffScreenTexture.py:1(<module>)
