Thu Apr  3 23:52:07 2014    profil_all_nonumpy

         274136 function calls (273512 primitive calls) in 41.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.005    0.005 {_curses.initscr}
        1    0.005    0.005    0.006    0.006 MergeShape.py:1(<module>)
        3    0.005    0.002    0.007    0.002 numeric.py:122(extend_all)
        1    0.005    0.005    0.005    0.005 EnvironmentCube.py:1(<module>)
        1    0.005    0.005    0.020    0.020 __init__.py:44(<module>)
        1    0.005    0.005    0.011    0.011 _datasource.py:33(<module>)
        1    0.005    0.005    0.005    0.005 Canvas.py:1(<module>)
        2    0.005    0.002    0.078    0.039 Image.py:527(tobytes)
        1    0.005    0.005    0.005    0.005 DisplayOpenGL.py:1(<module>)
        1    0.005    0.005    0.005    0.005 ElevationMap.py:1(<module>)
       75    0.005    0.000    0.006    0.000 threading.py:141(release)
        1    0.005    0.005    0.005    0.005 Plane.py:1(<module>)
        1    0.005    0.005    0.005    0.005 Sprite.py:1(<module>)
        1    0.005    0.005    0.005    0.005 Extrude.py:1(<module>)
       31    0.005    0.000    0.010    0.000 _inspect.py:157(formatargspec)
        1    0.005    0.005    0.005    0.005 OffScreenTexture.py:1(<module>)
        1    0.005    0.005    0.005    0.005 heapq.py:31(<module>)
        1    0.005    0.005    0.005    0.005 PostProcess.py:1(<module>)
        1    0.005    0.005    0.005    0.005 Disk.py:1(<module>)
        1    0.005    0.005    0.005    0.005 String.py:1(<module>)
       30    0.005    0.000    0.005    0.000 DisplayOpenGL.py:197(swap_buffers)
        1    0.005    0.005    0.005    0.005 Defocus.py:1(<module>)
        1    0.005    0.005    0.005    0.005 LodSprite.py:1(<module>)
        1    0.005    0.005    0.005    0.005 JpegImagePlugin.py:35(<module>)
        1    0.005    0.005    0.533    0.533 __init__.py:75(_detect_platform_and_load_libraries)
       31    0.005    0.000    0.005    0.000 {built-in method fromtimestamp}
        5    0.005    0.001    0.005    0.001 Ctypes.py:23(c_ints)
        3    0.005    0.002    0.183    0.061 util.py:185(_findSoname_ldconfig)
